"","Country_or_Area","Max_y","Year","Area","Divorces","EducationF","EducationM","GDPpc","LitParityIndex","LiteracyF","LiteracyM","SingulateAgeWomen","SingulateAgeMen","Marriages","PopulationF","PopulationM"
"53","Israel","2016","2016","Total",14819,174092,136845,39919.1696489174,NA,99.6,100,26.2,29.1,52809,3379991,3312046
"54","Italy","2017","2017","Total",91629,1139807,875191,41830.4263276444,1,99.8,99.8,30.6,34,191287,30167667,28478693
"55","Jamaica","2018","2017","Total",2882,32003,13767,9326.66405867008,NA,NA,NA,33.2,34.8,17411,1359074,1323395
"56","Japan","2017","2017","Total",212262,1853130,2185172,42797.4585169914,NA,NA,NA,29.7,31.2,606866,65410837,62485903
"57","Jordan","2017","2017","Total",21210,109528,108295,9478.90458750285,1,99,98.9,24.7,NA,70734,2689716,2854350
"58","Kazakhstan","2018","2017","Total",54626,437742,315439,27879.7519462896,1,99.9,99.8,25.1,28.1,137797,7936955,7273654
"59","Kuwait","2018","2017","Total",7433,27127,11503,72897.562345371,1,99.8,99.7,27.5,28.9,14400,1071450,1628550
"60","Kyrgyzstan","2018","2017","Total",9588,121828,98632,NA,1,99.7,99.7,23.2,26.3,49579,2638511,2565036
"61","Latvia","2018","2017","Total",5943,82575,48131,30304.852496882,1,99.8,99.7,29.9,32.4,13058,1241815,1059978
"62","Lebanon","2014","2014","Total",7206,87473,78257,13081.1074629124,NA,NA,NA,28.3,32.3,41049,2045935,1964805
"63","Liechtenstein","2017","2017","Total",90,142,390,NA,NA,NA,NA,29.6,32.7,229,17503,16974
"64","Lithuania","2018","2017","Total",8518,117493,77912,35461.3590993235,1,99.7,99.7,29.1,31.7,19734,1828313,1596764
"65","Luxembourg","2018","2017","Total",1192,1609,1433,113337.420494703,NA,NA,NA,27.8,30.6,1956,231199,225414
"66","Malta","2017","2017","Total",312,5319,4122,42581.0978615749,1.04,97.8,94.4,28.2,31,2934,202589,200028
"67","Martinique","2015","2015","Total",369,NA,NA,NA,NA,NA,NA,33.3,35.6,1034,208318,187578
"68","Mauritius","2018","2017","Total",1996,9313,7539,23750.9880399871,1.02,95.4,93.7,22.6,28.5,10034,624931,616242
"69","Mayotte","2015","2015","Total",139,NA,NA,NA,NA,NA,NA,22.1,26.4,346,NA,NA
